Country,A 3,Region
ALGERIA,DZA,AFRINIC
ANGOLA,AGO,AFRINIC
BENIN,BEN,AFRINIC
BOTSWANA,BWA,AFRINIC
BURKINA FASO,BFA,AFRINIC
BURUNDI,BDI,AFRINIC
CAMEROON,CMR,AFRINIC
CAPE VERDE,CPV,AFRINIC
CENTRAL AFRICAN REPUBLIC,CAF,AFRINIC
CHAD,TCD,AFRINIC
COMOROS,COM,AFRINIC
CONGO,COG,AFRINIC
"CONGO, THE DEMOCRATIC REPUBLIC OF THE",COD,AFRINIC
COTE D’IVOIRE,CIV,AFRINIC
DJIBOUTI,DJI,AFRINIC
EGYPT,EGY,AFRINIC
EQUATORIAL GUINEA,GNQ,AFRINIC
ERITREA,ERI,AFRINIC
ETHIOPIA,ETH,AFRINIC
GABON,GAB,AFRINIC
GAMBIA,GMB,AFRINIC
GHANA,GHA,AFRINIC
GUINEA,GIN,AFRINIC
GUINEA-BISSAU,GNB,AFRINIC
KENYA,KEN,AFRINIC
LESOTHO,LSO,AFRINIC
LIBERIA,LBR,AFRINIC
LIBYAN ARAB JAMAHIRIYA,LBY,AFRINIC
MADAGASCAR,MDG,AFRINIC
MALI,MLI,AFRINIC
MALAWI,MWI,AFRINIC
MAURITANIA,MRT,AFRINIC
MAURITIUS,MUS,AFRINIC
MAYOTTE,MYT,AFRINIC
MOROCCO,MAR,AFRINIC
MOZAMBIQUE,MOZ,AFRINIC
NAMIBIA,NAM,AFRINIC
NIGER,NER,AFRINIC
NIGERIA,NGA,AFRINIC
REUNION ISLAND,REU,AFRINIC
RWANDA,RWA,AFRINIC
SAO TOME AND PRINCIPE,STP,AFRINIC
SENEGAL,SEN,AFRINIC
SEYCHELLES,SYC,AFRINIC
SIERRA LEONE,SLE,AFRINIC
SOMALIA,SOM,AFRINIC
SOUTH AFRICA,ZAF,AFRINIC
SOUTH SUDAN,SSD,AFRINIC
SUDAN,SDN,AFRINIC
SWAZILAND,SWZ,AFRINIC
"TANZANIA, UNITED REPUBLIC OF",TZA,AFRINIC
TOGO,TGO,AFRINIC
TUNISIA,TUN,AFRINIC
UGANDA,UGA,AFRINIC
WESTERN SAHARA,ESH,AFRINIC
ZAMBIA,ZMB,AFRINIC
ZIMBABWE,ZWE,AFRINIC
